English,Korean
express bus,고속 버스
traffic,교동
transportation,교동
train,기차
ship,배
bus,버스
airplane,비행기
automobile,자동차
bicycle,자전거
subway,지하철
by walking,걸어서
to transfer,갈아타다
to get off,내리다
to ride,타다
bus stop,버스 정류장
subway station,지하철 역
How do you go?,어똫게 가요?
How long does it take?,얼마나 걸려요?
to take (time),걸리다
outdoor market,시장
over there,저기
or,이나
about,쯤
excuse me (to a waiter),저기요
next day,다음 날
first day,첫날
to walk,걷다
to attend (regularly),다니다
to begin,시작하다
to be near/close,가깝다
to be late,늦다
to be quick/fast,빠르다
to be far/distant,멀다
traffic is bad,교통이 복잡하다
from _ to _ (spatial reference),_에서 _까지
now,이제
to arrive early,일찍 도착하다
a little bit,조금
to take photographs,사진을 찍다
from _,_한테서
Next time we should go together,다음에 꼭 같이 가요
Please show me the photograph,사진 좀 보여 주세요
Wow!,와!
That is really cool,참 멋있어요
